Set,Number,Name,Cost,Ink,Type,Rarity,Str,Will,Lore,Classification,Franchise,Std Price,Foil Price
The First Chapter,205/204,Hades - King of Olympus (Alternate Art),8,Amber,Character,Enchanted,6,7,1,King of Olympus,Hercules,0,$230.48
The First Chapter,206/204,Stitch - Carefree Surfer (Alternate Art),7,Amber,Character,Enchanted,4,8,2,Carefree Surfer,Lilo and Stitch,0,$257.43
The First Chapter,207/204,Elsa - Spirit of Winter (Alternate Art),8,Amethyst,Character,Enchanted,4,6,3,Spirit of Winter,Frozen,0,$682.38
The First Chapter,208/204,Mickey Mouse - Wayward Sorcerer (Alternate Art),4,Amethyst,Character,Enchanted,3,4,2,Wayward Sorcerer,Standard Characters,0,$308.80
The First Chapter,209/204,Genie - On the Job (Alternate Art),6,Emerald,Character,Enchanted,3,4,2,On the Job,Aladdin,0,$209.59
The First Chapter,210/204,Mickey Mouse - Artful Rogue (Alternate Art),7,Emerald,Character,Enchanted,6,5,2,Artful Rogue,Standard Characters,0,$204.98
The First Chapter,211/204,Aladdin - Heroic Outlaw (Alternate Art),7,Ruby,Character,Enchanted,5,5,2,Heroic Outlaw,Aladdin,0,$224.61
The First Chapter,212/204,Maui - Hero to All (Alternate Art),5,Ruby,Character,Enchanted,6,5,,Hero to All,Moana,0,$222.84
The First Chapter,213/204,Aurora - Dreaming Guardian (Alternate Art),5,Sapphire,Character,Enchanted,3,5,2,Dreaming Guardian,Sleeping Beauty,0,$268.67
The First Chapter,214/204,Belle - Strange but Special (Alternate Art),4,Sapphire,Character,Enchanted,2,4,1,Strange but Special,Beauty and the Beast,0,$306.50
The First Chapter,215/204,Simba - Returned King (Alternate Art),7,Steel,Character,Enchanted,4,6,2,Returned King,Lion King,0,$238.84
The First Chapter,216/204,Tinker Bell - Giant Fairy (Alternate Art),6,Steel,Character,Enchanted,4,5,2,Giant Fairy,Peter Pan,0,$297.09
The First Chapter,1/204,Ariel - On Human Legs,4,Amber,Character,Uncommon,3,4,2,On Human Legs,Little Mermaid,$0.13,$1.31
The First Chapter,2/204,Ariel - Spectacular Singer,3,Amber,Character,Super Rare,2,3,1,Spectacular Singer,Little Mermaid,$10.19,$23.07
The First Chapter,25/204,Be Our Guest,2,Amber,Action,Uncommon,,,,,Beauty and the Beast,$0.56,$4.13
The First Chapter,3/204,Cinderella - Gentle and Kind,4,Amber,Character,Uncommon,2,5,2,Gentle and Kind,Cinderella,$0.17,$1.49
The First Chapter,26/204,Control Your Temper!,1,Amber,Action,Common,,,,,Beauty and the Beast,$0.09,$0.39
The First Chapter,32/204,Dinglehopper,1,Amber,Item,Common,,,,,Little Mermaid,$0.08,$0.64
The First Chapter,4/204,Goofy - Musketeer,5,Amber,Character,Uncommon,3,6,1,Musketeer,Standard Characters,$0.69,$2.07
The First Chapter,5/204,Hades - King of Olympus,8,Amber,Character,Rare,6,7,1,King of Olympus,Hercules,$1.07,$1.09
The First Chapter,6/204,Hades - Lord of the Underworld,4,Amber,Character,Rare,3,2,1,Lord of the Underworld,Hercules,$1.79,$5.67
The First Chapter,27/204,Hakuna Matata,4,Amber,Action,Common,,,,,Lion King,$0.14,$0.67
The First Chapter,28/204,Healing Glow,1,Amber,Action,Common,,,,,Tangled,$0.13,$0.44
The First Chapter,7/204,Heihei - Boat Snack,1,Amber,Character,Common,1,2,1,Boat Snack,Moana,$0.12,$0.86
The First Chapter,29/204,Just in Time,3,Amber,Action,Rare,,,,,Moana,$3.86,$7.51
The First Chapter,33/204,Lantern,2,Amber,Item,Rare,,,,,Tangled,$6.13,$8.31
The First Chapter,8/204,Lefou - Bumbler,2,Amber,Character,Uncommon,1,2,2,Bumbler,Beauty and the Beast,$0.46,$1.50
The First Chapter,9/204,Lilo - Making a Wish,1,Amber,Character,Rare,1,1,2,Making a Wish,Lilo and Stitch,$14.77,$22.68
The First Chapter,10/204,Maximus - Palace Horse,5,Amber,Character,Super Rare,4,5,1,Palace Horse,Tangled,$3.38,$6.46
The First Chapter,11/204,Maximus - Relentless Pursuer,3,Amber,Character,Uncommon,3,3,1,Relentless Pursuer,Tangled,$0.16,$0.83
The First Chapter,12/204,Mickey Mouse - True Friend,3,Amber,Character,Uncommon,3,3,2,True Friend,Standard Characters,$0.18,$1.69
The First Chapter,13/204,Minnie Mouse - Beloved Princess,2,Amber,Character,Common,2,3,1,Beloved Princess,Standard Characters,$0.10,$0.97
The First Chapter,14/204,Moana - Of Motunui,5,Amber,Character,Rare,1,6,3,Of Motunui,Moana,$1.96,$2.41
The First Chapter,15/204,Mr. Smee - Loyal First Mate,3,Amber,Character,Common,2,5,1,Loyal First Mate,Peter Pan,$0.13,$0.56
The First Chapter,30/204,Part of Your World,3,Amber,Action,Rare,,,,,Little Mermaid,$0.92,$3.32
